cittano,citta,vacara,hetu,jati
24,Sukhasahagataṁ kāyaviññāṇaṁ kusalavipākacittāṁ,kāmāvacara,ahetuka,kusalavipāka
25,Upekkhāsahagataṁ sampaṭicchanacittaṁ kusalavipākacittāṁ,kāmāvacara,ahetuka,kusalavipāka
26,Somanassasahagataṁ santīraṇacittaṁ kusalavipākacittāṁ,kāmāvacara,ahetuka,kusalavipāka
27,Upekkhāsahagataṁ santīraṇacittaṁ kusalavipākacittāṁ,kāmāvacara,ahetuka,kusalavipāka
28,Upekkhāsahagataṁ pañcadvārāvajjanacittaṁ,kāmāvacara,ahetuka,kiriya
29,Upekkhāsahagataṁ manodvārāvajjanacittaṁ,kāmāvacara,ahetuka,kiriya
30,Somanassasahagataṁ hasituppādacittaṁ,kāmāvacara,ahetuka,kiriya
31,Somanassasahagataṁ ñāṇasampayuttaṁ asaṁkhārikam kusalacittāṁ,kāmāvacara,sobhana,kusala
32,Somanassasahagataṁ ñāṇasampayuttaṁ sasaṁkhārikam kusalacittāṁ,kāmāvacara,sobhana,kusala
33,Somanassasahagataṁ ñāṇavippayuttaṁ asaṁkhārikam kusalacittāṁ,kāmāvacara,sobhana,kusala
34,Somanassasahagataṁ ñāṇavippayuttaṁ sasaṁkhārikam kusalacittāṁ,kāmāvacara,sobhana,kusala
35,Upekkhāsahagataṁ ñāṇasampayuttaṁ asaṁkhārikam kusalacittāṁ,kāmāvacara,sobhana,kusala
36,Upekkhāsahagataṁ ñāṇasampayuttaṁ sasaṁkhārikam kusalacittāṁ,kāmāvacara,sobhana,kusala
37,Upekkhāsahagataṁ ñāṇavippayuttaṁ asaṁkhārikam kusalacittāṁ,kāmāvacara,sobhana,kusala
38,Upekkhāsahagataṁ ñāṇavippayuttaṁ sasaṁkhārikam kusalacittāṁ,kāmāvacara,sobhana,kusala
39,Somanassasahagataṁ ñāṇasampayuttaṁ asaṁkhārikam vipākacittṁ,kāmāvacara,sobhana,vipāka
40,Somanassasahagataṁ ñāṇasampayuttaṁ sasaṁkhārikam vipākacittṁ,kāmāvacara,sobhana,vipāka
41,Somanassasahagataṁ ñāṇavippayuttaṁ asaṁkhārikam vipākacittṁ,kāmāvacara,sobhana,vipāka
42,Somanassasahagataṁ ñāṇavippayuttaṁ sasaṁkhārikam vipākacittṁ,kāmāvacara,sobhana,vipāka
43,Upekkhāsahagataṁ ñāṇasampayuttaṁ asaṁkhārikam vipākacittṁ,kāmāvacara,sobhana,vipāka
44,Upekkhāsahagataṁ ñāṇasampayuttaṁ sasaṁkhārikam vipākacittṁ,kāmāvacara,sobhana,vipāka
45,Upekkhāsahagataṁ ñāṇavippayuttaṁ asaṁkhārikam vipākacittṁ,kāmāvacara,sobhana,vipāka
46,Upekkhāsahagataṁ ñāṇavippayuttaṁ sasaṁkhārikam vipākacittṁ,kāmāvacara,sobhana,vipāka
47,Somanassasahagataṁ ñāṇasampayuttaṁ asaṁkhārikam kriyācittāṁ,kāmāvacara,sobhana,kiriya
48,Somanassasahagataṁ ñāṇasampayuttaṁ sasaṁkhārikam kriyācittāṁ,kāmāvacara,sobhana,kiriya
49,Somanassasahagataṁ ñāṇavippayuttaṁ asaṁkhārikam kriyācittāṁ,kāmāvacara,sobhana,kiriya
50,Somanassasahagataṁ ñāṇavippayuttaṁ sasaṁkhārikam kriyācittāṁ,kāmāvacara,sobhana,kiriya
51,Upekkhāsahagataṁ ñāṇasampayuttaṁ asaṁkhārikam kriyācittāṁ,kāmāvacara,sobhana,kiriya
52,Upekkhāsahagataṁ ñāṇasampayuttaṁ sasaṁkhārikam kriyācittāṁ,kāmāvacara,sobhana,kiriya
53,Upekkhāsahagataṁ ñāṇavippayuttaṁ asaṁkhārikam kriyācittāṁ,kāmāvacara,sobhana,kiriya
54,Upekkhāsahagataṁ ñāṇavippayuttaṁ sasaṁkhārikam kriyācittāṁ,kāmāvacara,sobhana,kiriya
55,Vitakka-vicāra-pīti-sukh’-ekaggatā-sahitaṁ paṭhamajjhāna-kusalacittaṁ,rūpāvacara,sobhana,kusala
56,Vicāra-pīti-sukh’-ekaggatā-sahitaṁ dutiyajjhāna-kusalacittaṁ,rūpāvacara,sobhana,kusala
57,Pīti-sukh’-ekaggatā-sahitaṁ tatiyajjhāna-kusalacittaṁ,rūpāvacara,sobhana,kusala
58,Sukh’-ekaggatā-sahitaṁ catutthajjhāna-kusalacittaṁ,rūpāvacara,sobhana,kusala
59,Upekkh’-ekaggatā-sahitaṁ pañcamajjhāna-kusalacittaṁ,rūpāvacara,sobhana,kusala
60,Vitakka-vicāra-pīti-sukh’-ekaggatā-sahitaṁ paṭhamajjhāna-vipākacittaṁ,rūpāvacara,sobhana,vipāka
61,Vicāra-pīti-sukh’-ekaggatā-sahitaṁ dutiyajjhāna-vipākacittaṁ,rūpāvacara,sobhana,vipāka
62,Pīti-sukh’-ekaggatā-sahitaṁ tatiyajjhāna-vipākacittaṁ,rūpāvacara,sobhana,vipāka
63,Sukh’-ekaggatā-sahitaṁ catutthajjhāna-vipākacittaṁ,rūpāvacara,sobhana,vipāka
64,Upekkh’-ekaggatā-sahitaṁ pañcamajjhāna-vipākacittaṁ,rūpāvacara,sobhana,vipāka
65,Vitakka-vicāra-pīti-sukh’-ekaggatā-sahitaṁ paṭhamajjhāna-kriyācittaṁ,rūpāvacara,sobhana,kiriya
66,Vicāra-pīti-sukh’-ekaggatā-sahitaṁ dutiyajjhāna-kriyācittaṁ,rūpāvacara,sobhana,kiriya
67,Pīti-sukh’-ekaggatā-sahitaṁ tatiyajjhāna-kriyācittaṁ,rūpāvacara,sobhana,kiriya
68,Sukh’-ekaggatā-sahitaṁ catutthajjhāna-kriyācittaṁ,rūpāvacara,sobhana,kiriya
69,Upekkh’-ekaggatā-sahitaṁ pañcamajjhāna-kriyācittaṁ,rūpāvacara,sobhana,kiriya
70,Ākāsānañcāyatana-kusalacittaṁ,arūpāvacara,sobhana,kusala
71,Viññāṇañcāyatana-kusalacittaṁ,arūpāvacara,sobhana,kusala
72,Ākiñcaññāyatana-kusalacittaṁ,arūpāvacara,sobhana,kusala
73,N’evasaññān’āsaññāyatana-kusalacittaṁ,arūpāvacara,sobhana,kusala
74,Ākāsānañcāyatana-vipākacittaṁ,arūpāvacara,sobhana,vipāka
75,Viññāṇañcāyatana-vipākacittaṁ,arūpāvacara,sobhana,vipāka
76,Ākiñcaññāyatana-vipākacittaṁ,arūpāvacara,sobhana,vipāka
77,N’evasaññān’āsaññāyatana-vipākacittaṁ,arūpāvacara,sobhana,vipāka
78,Ākāsānañcāyatana-kriyācittaṁ,arūpāvacara,sobhana,kiriya
79,Viññāṇañcāyatana-kriyācittaṁ,arūpāvacara,sobhana,kiriya
80,Ākiñcaññāyatana-kriyācittaṁ,arūpāvacara,sobhana,kiriya
81,N’evasaññān’āsaññāyatana-kriyācittaṁ,arūpāvacara,sobhana,kiriya
82,Sotāpatti-maggacittaṁ,lokuttara,sobhana,kusala
83,Sakadāgāmi-maggacittaṁ,lokuttara,sobhana,kusala
84,Anāgāmi-maggacittaṁ,lokuttara,sobhana,kusala
85,Arahatta-maggacittaṁ,lokuttara,sobhana,kusala
86,Sotāpatti-phalacittaṁ,lokuttara,sobhana,vipāka
87,Sakadāgāmi-phalacittaṁ,lokuttara,sobhana,vipāka
88,Anāgāmi-phalacittaṁ,lokuttara,sobhana,vipāka
89,Arahatta-phalacittaṁ,lokuttara,sobhana,vipāka
